Local time,Date,Open,High,Low,Close,Volume
19.11.2018 01:30:00.000 GMT+0330,19.11.2018,67.275,67.611,65.255,66.895,5.556
20.11.2018 01:30:00.000 GMT+0330,20.11.2018,66.806,66.835,61.7,62.345,10.7016
21.11.2018 01:30:00.000 GMT+0330,21.11.2018,62.591,64.456,62.54,63.465,8.0437
22.11.2018 01:30:00.000 GMT+0330,22.11.2018,63.571,63.78,62.25,62.475,4.7651
23.11.2018 01:30:00.000 GMT+0330,23.11.2018,62.555,62.765,58.41,59.14,9.2999
24.11.2018 01:30:00.000 GMT+0330,24.11.2018,59.14,59.14,59.14,59.14,0
25.11.2018 01:30:00.000 GMT+0330,25.11.2018,59.14,59.14,59.14,59.14,0
26.11.2018 01:30:00.000 GMT+0330,26.11.2018,59.375,61.101,58.94,60.525,9.3948
27.11.2018 01:30:00.000 GMT+0330,27.11.2018,60.366,61.375,58.896,60.795,8.9984
28.11.2018 01:30:00.000 GMT+0330,28.11.2018,60.586,61.241,58.546,58.685,5.6953
29.11.2018 01:30:00.000 GMT+0330,29.11.2018,58.998,60.32,57.48,59.49,7.6088
30.11.2018 01:30:00.000 GMT+0330,30.11.2018,59.746,60.386,58.015,59.075,6.7964
01.12.2018 01:30:00.000 GMT+0330,01.12.2018,59.075,59.075,59.075,59.075,0
02.12.2018 01:30:00.000 GMT+0330,02.12.2018,59.075,59.075,59.075,59.075,0
03.12.2018 01:30:00.000 GMT+0330,03.12.2018,61.105,62.571,60.6,61.795,6.7392
04.12.2018 01:30:00.000 GMT+0330,04.12.2018,61.886,63.551,61.228,61.325,6.8632
05.12.2018 01:30:00.000 GMT+0330,05.12.2018,61.491,63.261,60.8,61.585,6.0897
06.12.2018 01:30:00.000 GMT+0330,06.12.2018,61.381,61.951,58.385,60.225,8.7068
07.12.2018 01:30:00.000 GMT+0330,07.12.2018,60.075,63.671,59.085,61.265,8.5853
08.12.2018 01:30:00.000 GMT+0330,08.12.2018,61.265,61.265,61.265,61.265,0
09.12.2018 01:30:00.000 GMT+0330,09.12.2018,61.265,61.265,61.265,61.265,0
10.12.2018 01:30:00.000 GMT+0330,10.12.2018,61.955,62.301,59.595,59.855,7.0059
11.12.2018 01:30:00.000 GMT+0330,11.12.2018,60.011,61.071,59.565,60.465,6.2356
12.12.2018 01:30:00.000 GMT+0330,12.12.2018,60.786,61.401,59.965,60.195,5.661
13.12.2018 01:30:00.000 GMT+0330,13.12.2018,60.248,61.988,59.315,61.625,6.525
14.12.2018 01:30:00.000 GMT+0330,14.12.2018,61.405,61.541,59.895,60.245,5.9047
15.12.2018 01:30:00.000 GMT+0330,15.12.2018,60.245,60.245,60.245,60.245,0
16.12.2018 01:30:00.000 GMT+0330,16.12.2018,60.245,60.245,60.245,60.245,0
17.12.2018 01:30:00.000 GMT+0330,17.12.2018,60.415,61.191,58.638,58.718,4.6295
18.12.2018 01:30:00.000 GMT+0330,18.12.2018,58.991,59.211,55.881,55.985,7.6674
19.12.2018 01:30:00.000 GMT+0330,19.12.2018,56.576,58.076,56.015,56.475,7.6489
20.12.2018 01:30:00.000 GMT+0330,20.12.2018,56.498,56.721,54.255,54.715,9.4886
21.12.2018 01:30:00.000 GMT+0330,21.12.2018,54.978,55.301,52.775,53.465,7.2309
22.12.2018 01:30:00.000 GMT+0330,22.12.2018,53.465,53.465,53.465,53.465,0
23.12.2018 01:30:00.000 GMT+0330,23.12.2018,53.465,53.465,53.465,53.465,0
24.12.2018 01:30:00.000 GMT+0330,24.12.2018,53.521,54.621,50.381,50.465,4.3429
25.12.2018 01:30:00.000 GMT+0330,25.12.2018,50.465,50.465,50.465,50.465,0
26.12.2018 01:30:00.000 GMT+0330,26.12.2018,50.898,55.266,49.941,54.91,4.9115
27.12.2018 01:30:00.000 GMT+0330,27.12.2018,54.616,54.618,51.915,52.225,7.6005
28.12.2018 01:30:00.000 GMT+0330,28.12.2018,54,54.385,51.985,52.995,6.3536
