Local time,Open,High,Low,Close,Volume
27.10.2012 00:30:00.000 GMT+0330,109.640,109.640,109.640,109.640,0
28.10.2012 00:30:00.000 GMT+0330,109.640,109.640,109.640,109.640,0
29.10.2012 00:30:00.000 GMT+0330,109.550,110.260,108.510,109.010,68197
30.10.2012 00:30:00.000 GMT+0330,109.010,110.100,108.650,108.730,67693
31.10.2012 00:30:00.000 GMT+0330,108.760,109.800,108.300,108.350,67863
01.11.2012 00:30:00.000 GMT+0330,108.350,109.020,107.750,108.100,61934
02.11.2012 00:30:00.000 GMT+0330,108.100,108.800,105.520,105.760,50910
03.11.2012 00:30:00.000 GMT+0330,105.760,105.760,105.760,105.760,0
04.11.2012 00:30:00.000 GMT+0330,105.760,105.760,105.760,105.760,0
05.11.2012 01:30:00.000 GMT+0330,105.680,108.170,104.760,108.070,103970
06.11.2012 01:30:00.000 GMT+0330,108.070,111.310,107.130,111.030,85083
07.11.2012 01:30:00.000 GMT+0330,111.030,111.630,106.550,106.650,113638
08.11.2012 01:30:00.000 GMT+0330,106.650,108.170,106.130,107.030,77686
09.11.2012 01:30:00.000 GMT+0330,107.030,109.780,106.250,109.400,84336
10.11.2012 01:30:00.000 GMT+0330,109.400,109.400,109.400,109.400,0
11.11.2012 01:30:00.000 GMT+0330,109.400,109.400,109.400,109.400,0
12.11.2012 01:30:00.000 GMT+0330,109.400,110.390,108.560,108.750,101359
13.11.2012 01:30:00.000 GMT+0330,108.750,109.070,107.380,108.080,61967
14.11.2012 01:30:00.000 GMT+0330,108.080,110.340,107.800,109.890,42318
15.11.2012 01:30:00.000 GMT+0330,109.890,111.120,109.610,110.980,34166
16.11.2012 01:30:00.000 GMT+0330,110.980,110.980,110.980,110.980,9
17.11.2012 01:30:00.000 GMT+0330,110.980,110.980,110.980,110.980,0
18.11.2012 01:30:00.000 GMT+0330,110.980,110.980,110.980,110.980,0
19.11.2012 01:30:00.000 GMT+0330,109.630,112.200,109.360,111.690,92650
20.11.2012 01:30:00.000 GMT+0330,111.690,111.830,109.020,110.500,77037
21.11.2012 01:30:00.000 GMT+0330,110.500,111.460,109.550,111.040,62352
22.11.2012 01:30:00.000 GMT+0330,111.040,111.170,110.110,110.350,30822
23.11.2012 01:30:00.000 GMT+0330,110.350,111.540,110.110,111.390,41301
24.11.2012 01:30:00.000 GMT+0330,111.390,111.390,111.390,111.390,0
25.11.2012 01:30:00.000 GMT+0330,111.390,111.390,111.390,111.390,0
26.11.2012 01:30:00.000 GMT+0330,111.380,111.480,110.270,110.820,59101
27.11.2012 01:30:00.000 GMT+0330,110.820,111.360,109.310,109.980,104742
28.11.2012 01:30:00.000 GMT+0330,110.000,110.170,108.440,109.660,97017
29.11.2012 01:30:00.000 GMT+0330,109.660,111.300,109.450,110.490,110975
30.11.2012 01:30:00.000 GMT+0330,110.490,111.340,110.250,111.190,102769
01.12.2012 01:30:00.000 GMT+0330,111.190,111.230,111.190,111.230,0
02.12.2012 01:30:00.000 GMT+0330,111.230,111.230,111.230,111.230,0
03.12.2012 01:30:00.000 GMT+0330,111.230,112.330,110.600,110.780,106421
04.12.2012 01:30:00.000 GMT+0330,110.780,110.920,109.150,109.660,113019
05.12.2012 01:30:00.000 GMT+0330,109.660,110.570,108.640,108.870,106569
06.12.2012 01:30:00.000 GMT+0330,108.850,109.160,106.630,107.160,110526
