Date,Close
7/23/2016,9786
7/20/2016,9703
7/19/2016,9328
7/18/2016,8884
7/17/2016,8653
7/16/2016,8749
7/13/2016,8849
7/12/2016,9071
7/11/2016,9371
7/10/2016,9399
7/9/2016,9401
7/5/2016,9401
7/4/2016,9401
7/3/2016,9390
7/2/2016,9388
6/29/2016,9394
6/28/2016,9393
6/26/2016,9375
6/25/2016,9379
6/22/2016,9381
6/21/2016,9387
6/20/2016,9388
6/19/2016,9388
6/18/2016,9389
6/15/2016,9399
6/14/2016,9401
6/13/2016,9407
6/12/2016,9413
6/11/2016,9422
6/8/2016,9429
6/7/2016,9434
6/6/2016,9435
6/5/2016,9440
6/1/2016,9440
5/31/2016,9440
5/30/2016,9440
5/29/2016,9440
5/28/2016,9435
5/25/2016,9434
5/24/2016,9434
5/23/2016,9434
5/21/2016,11195
5/18/2016,11195
5/17/2016,11195
5/16/2016,11195
5/15/2016,11195
5/14/2016,11195
5/11/2016,11195
5/10/2016,11264
5/9/2016,11291
5/8/2016,11165
5/7/2016,11136
5/4/2016,11199
5/3/2016,11127
5/2/2016,11493
5/1/2016,11880
4/30/2016,11944
4/27/2016,11709
4/26/2016,11595
4/25/2016,11794
4/24/2016,11989
4/23/2016,11508
4/20/2016,11052
4/19/2016,10728
4/18/2016,10748
4/17/2016,10723
4/16/2016,10519
4/13/2016,10786
4/12/2016,10838
4/11/2016,10914
4/10/2016,10914
4/9/2016,10982
4/6/2016,10972
4/5/2016,10946
4/4/2016,10982
4/3/2016,10794
4/2/2016,10907
3/30/2016,10905
3/29/2016,11125
3/28/2016,11156
3/27/2016,10897
3/26/2016,10379
3/16/2016,10025
3/15/2016,9992
3/14/2016,10067
3/12/2016,10177
3/9/2016,10150
3/8/2016,10113
3/7/2016,10016
3/6/2016,10167
3/5/2016,10275
3/2/2016,9946
3/1/2016,10031
2/29/2016,10185
2/28/2016,10290
2/27/2016,10786
2/24/2016,10857
2/23/2016,10962
2/22/2016,11054
2/21/2016,11500
2/20/2016,11515
2/17/2016,11515
2/16/2016,11550
2/15/2016,11684
2/14/2016,11519
2/13/2016,11584
2/10/2016,11736
2/9/2016,11839
2/8/2016,11565
2/7/2016,11491
2/6/2016,11584
2/3/2016,11568
2/2/2016,11789
2/1/2016,12023
1/31/2016,11901
1/30/2016,11919
1/27/2016,11738
1/26/2016,11654
1/25/2016,11332
1/24/2016,11074
1/23/2016,10825
1/20/2016,10945
1/19/2016,11394
1/18/2016,11205
1/17/2016,11735
1/16/2016,11798
1/13/2016,11238
1/12/2016,10853
1/11/2016,10925
1/10/2016,10967
1/9/2016,10867
1/6/2016,10352
1/5/2016,10108
1/4/2016,10049
1/3/2016,10011
1/2/2016,10259
12/30/2015,10328
12/28/2015,10195
12/27/2015,10320
12/26/2015,10342
12/23/2015,10402
12/22/2015,10444
12/21/2015,10357
12/20/2015,10497
12/19/2015,10620
12/16/2015,10672
12/15/2015,10712
12/14/2015,10625
12/13/2015,10806
12/9/2015,10840
12/8/2015,10889
12/7/2015,10824
12/6/2015,11071
12/5/2015,10931
12/1/2015,11047
11/30/2015,11260
11/29/2015,10823
11/28/2015,10762
11/25/2015,10742
11/24/2015,10837
11/23/2015,10800
11/22/2015,11041
11/21/2015,11020
11/18/2015,11314
11/17/2015,11298
11/16/2015,11490
11/15/2015,11464
11/14/2015,11051
11/11/2015,11128
11/10/2015,11201
11/9/2015,11200
11/8/2015,10961
11/7/2015,10582
11/4/2015,10564
11/3/2015,10465
11/2/2015,10421
11/1/2015,10339
10/31/2015,10422
10/28/2015,10405
10/27/2015,10696
10/26/2015,10677
10/25/2015,10420
10/21/2015,10353
10/20/2015,10360
10/19/2015,10244
10/18/2015,10727
10/17/2015,11091
10/14/2015,10932
10/13/2015,10450
10/12/2015,9970
10/11/2015,9848
10/10/2015,9805
10/7/2015,9665
10/6/2015,9610
10/5/2015,9514
10/4/2015,9419
10/3/2015,9646
9/30/2015,9486
9/29/2015,9756
9/28/2015,9880
9/27/2015,9959
9/26/2015,9864
9/23/2015,10085
9/22/2015,9997
9/21/2015,10013
9/20/2015,10098
9/19/2015,10389
9/16/2015,10543
9/15/2015,11036
9/14/2015,11585
9/13/2015,12025
9/12/2015,12110
9/9/2015,12219
9/8/2015,12248
9/7/2015,12235
9/6/2015,12265
9/5/2015,12456
9/2/2015,12437
9/1/2015,12507
8/31/2015,12423
8/30/2015,12422
8/29/2015,12509
8/26/2015,12497
8/25/2015,12454
8/24/2015,12498
8/23/2015,12518
8/22/2015,12503
8/19/2015,12510
8/18/2015,12510
8/17/2015,12654
8/16/2015,12762
8/15/2015,12968
8/12/2015,13019
8/10/2015,13011
8/9/2015,12995
8/8/2015,13440
8/5/2015,13704
8/4/2015,13875
8/3/2015,14000
8/2/2015,13924
8/1/2015,14234
7/29/2015,14129
7/28/2015,14037
7/27/2015,13985
7/26/2015,14002
7/25/2015,13924
7/22/2015,14644
7/21/2015,14591
7/20/2015,14588
7/15/2015,15308
7/14/2015,14977
7/13/2015,14276
7/12/2015,13598
7/11/2015,12953
7/7/2015,12754
7/6/2015,12337
7/5/2015,12239
7/4/2015,12191
7/1/2015,12108
6/30/2015,12115
6/29/2015,12142
6/28/2015,12078
6/27/2015,12200
6/24/2015,11999
6/23/2015,12199
6/22/2015,12290
6/21/2015,12445
6/20/2015,12531
6/17/2015,12281
6/16/2015,12271
6/15/2015,12292
6/14/2015,12337
6/13/2015,12396
6/10/2015,12422
6/9/2015,12735
6/8/2015,12735
6/7/2015,12735
6/6/2015,12735
6/2/2015,12735
6/1/2015,12735
5/31/2015,12735
5/30/2015,12735
5/27/2015,12735
5/26/2015,12735
5/25/2015,12735
5/24/2015,12735
5/23/2015,12735
5/20/2015,12735
5/19/2015,12735
5/18/2015,12735
5/17/2015,12735
5/13/2015,12735
5/12/2015,12735
5/11/2015,12735
5/10/2015,12735
5/9/2015,12735
5/6/2015,12735
5/5/2015,12735
5/4/2015,16405
5/3/2015,16405
4/29/2015,16405
4/28/2015,16433
4/27/2015,16392
4/26/2015,16726
4/25/2015,16887
4/22/2015,16530
4/21/2015,16260
4/20/2015,15941
4/19/2015,16211
4/18/2015,16395
4/15/2015,16333
4/14/2015,16472
4/13/2015,15724
4/12/2015,15355
4/11/2015,15808
4/8/2015,16530
4/7/2015,17400
4/6/2015,18315
4/5/2015,19278
4/4/2015,18980
3/31/2015,14855
3/30/2015,14820
3/29/2015,14792
3/28/2015,14730
3/25/2015,14655
3/18/2015,14614
3/17/2015,14544
3/16/2015,14556
3/15/2015,14592
3/14/2015,14600
3/11/2015,14600
3/10/2015,14635
3/9/2015,14645
3/8/2015,14668
3/7/2015,14727
3/4/2015,14748
3/3/2015,14749
3/2/2015,14749
3/1/2015,14749
2/28/2015,14749
2/25/2015,14749
2/24/2015,14749
2/23/2015,14749
2/22/2015,14749
2/21/2015,14749
2/18/2015,14749
2/17/2015,14746
2/16/2015,15179
2/15/2015,15130
2/14/2015,15282
2/10/2015,15124
2/9/2015,15283
2/8/2015,15341
2/7/2015,15615
2/4/2015,15579
2/3/2015,15475
2/2/2015,15433
2/1/2015,15295
1/31/2015,15424
1/28/2015,15059
1/27/2015,14802
1/26/2015,14799
1/25/2015,14889
1/24/2015,14952
1/21/2015,15076
1/20/2015,15523
1/19/2015,15574
1/18/2015,16232
1/17/2015,15715
1/14/2015,14971
1/13/2015,15088
1/12/2015,14954
1/11/2015,14257
1/10/2015,14875
1/7/2015,15499
1/6/2015,16117
1/5/2015,16602
1/4/2015,16525
1/3/2015,16588
12/31/2014,16780
12/30/2014,17025
12/29/2014,17503
12/28/2014,17806
12/27/2014,17962
12/24/2014,17984
12/22/2014,18434
12/20/2014,18276
12/17/2014,18078
12/16/2014,18017
12/15/2014,18079
12/14/2014,18299
12/10/2014,18415
12/9/2014,18984
12/8/2014,18687
12/7/2014,17859
12/6/2014,17936
12/3/2014,18078
12/2/2014,18235
12/1/2014,18818
11/30/2014,18555
11/29/2014,19442
11/26/2014,19637
11/25/2014,19583
11/24/2014,20401
11/23/2014,19612
11/22/2014,20075
11/19/2014,20419
11/18/2014,20454
11/17/2014,21013
11/16/2014,21168
11/15/2014,21305
11/12/2014,21462
11/11/2014,21505
11/10/2014,21505
11/9/2014,21504
11/8/2014,21504
11/5/2014,21520
11/2/2014,21462
11/1/2014,21738
10/29/2014,21528
10/28/2014,21526
10/27/2014,21457
10/26/2014,21352
10/25/2014,21285
10/22/2014,21424
10/21/2014,21705
10/20/2014,22183
10/19/2014,21725
10/18/2014,21941
10/15/2014,22483
10/14/2014,22793
10/12/2014,22798
10/11/2014,22940
10/8/2014,23041
10/7/2014,23021
10/6/2014,23084
10/4/2014,23095
10/1/2014,23019
9/30/2014,23043
9/29/2014,23048
9/28/2014,23113
9/27/2014,22975
9/24/2014,23003
9/23/2014,22952
9/22/2014,22970
9/21/2014,22963
9/20/2014,22815
9/17/2014,22876
9/16/2014,22959
9/15/2014,22981
9/14/2014,22595
9/13/2014,22748
9/10/2014,22957
9/9/2014,22966
9/8/2014,22914
9/7/2014,22505
9/6/2014,22644
9/3/2014,22989
9/2/2014,22958
9/1/2014,22966
8/31/2014,22952
8/30/2014,22986
8/27/2014,23104
8/26/2014,23042
8/25/2014,23012
8/24/2014,23036
8/23/2014,22993
8/20/2014,23059
8/19/2014,22947
8/18/2014,22815
8/17/2014,22656
8/16/2014,22039
8/13/2014,22171
8/12/2014,22188
8/11/2014,22268
8/10/2014,21997
8/9/2014,21967
8/6/2014,21951
8/5/2014,22074
8/4/2014,22081
8/3/2014,22011
8/2/2014,22025
7/28/2014,22064
7/27/2014,22085
7/26/2014,22026
7/23/2014,22298
7/22/2014,22894
7/21/2014,23004
7/20/2014,22850
7/16/2014,22809
7/15/2014,21811
7/14/2014,21452
7/13/2014,21297
7/12/2014,21550
7/9/2014,20770
7/8/2014,19782
7/7/2014,18862
7/6/2014,19273
7/5/2014,18982
7/2/2014,18079
7/1/2014,17251
6/30/2014,16569
6/29/2014,16907
6/28/2014,17738
6/25/2014,18413
6/24/2014,18022
6/23/2014,18424
6/22/2014,18506
6/21/2014,18650
6/18/2014,18174
6/17/2014,17980
6/16/2014,18296
6/15/2014,18014
6/14/2014,18281
6/11/2014,19020
6/10/2014,19404
6/9/2014,19660
6/8/2014,19171
6/7/2014,18853
6/3/2014,19033
6/2/2014,19055
6/1/2014,18804
5/31/2014,19146
5/28/2014,19333
5/26/2014,19267
5/25/2014,19738
5/24/2014,19755
5/21/2014,19828
5/20/2014,20115
5/19/2014,20342
5/18/2014,20602
5/17/2014,19687
5/14/2014,19906
5/12/2014,20016
5/11/2014,20036
5/10/2014,20947
5/7/2014,21034
5/6/2014,21016
5/5/2014,20993
5/4/2014,20949
5/3/2014,25349
4/30/2014,25349
4/29/2014,25338
4/28/2014,25969
4/27/2014,26840
4/26/2014,26782
4/23/2014,25539
4/22/2014,25537
4/21/2014,25293
4/20/2014,25008
4/19/2014,24051
4/16/2014,25023
4/15/2014,24315
4/14/2014,23755
4/13/2014,24047
4/12/2014,25271
4/9/2014,25310
4/8/2014,25916
4/7/2014,25688
4/6/2014,26319
4/5/2014,27162
3/31/2014,26163
3/30/2014,26154
3/29/2014,25813
3/26/2014,25517
3/25/2014,26430
3/19/2014,26057
3/18/2014,26522
3/17/2014,26654
3/16/2014,25504
3/15/2014,25229
3/12/2014,24061
3/11/2014,23344
