date,Close gas
22/10/2016,2.9739
23/10/2016,2.9739
24/10/2016,2.8466
25/10/2016,2.7534
26/10/2016,2.7394
27/10/2016,3.0773
28/10/2016,3.1051
29/10/2016,3.1051
30/10/2016,3.1051
31/10/2016,2.9709
1/11/2016,2.8462
2/11/2016,2.7706
3/11/2016,2.8064
4/11/2016,2.7697
5/11/2016,2.7697
6/11/2016,2.7697
7/11/2016,2.8215
8/11/2016,2.6077
9/11/2016,2.6778
10/11/2016,2.6529
11/11/2016,2.6248
12/11/2016,2.6248
13/11/2016,2.6248
14/11/2016,2.7448
15/11/2016,2.7033
16/11/2016,2.7612
17/11/2016,2.6913
18/11/2016,2.8374
19/11/2016,2.8374
20/11/2016,2.8374
21/11/2016,2.9548
22/11/2016,2.9386
23/11/2016,3.007
24/11/2016,3.0273
25/11/2016,3.0985
26/11/2016,3.0985
27/11/2016,3.0985
28/11/2016,3.3355
29/11/2016,3.3173
30/11/2016,3.3374
1/12/2016,3.5088
2/12/2016,3.4424
3/12/2016,3.4424
4/12/2016,3.4424
5/12/2016,3.5812
6/12/2016,3.6227
7/12/2016,3.5666
8/12/2016,3.7089
9/12/2016,3.7293
10/12/2016,3.7293
11/12/2016,3.7293
12/12/2016,3.5038
13/12/2016,3.4567
14/12/2016,3.5552
15/12/2016,3.4155
16/12/2016,3.3816
17/12/2016,3.3816
18/12/2016,3.3816
19/12/2016,3.3924
20/12/2016,3.2975
21/12/2016,3.5819
22/12/2016,3.5281
23/12/2016,3.6609
24/12/2016,3.6609
25/12/2016,3.6609
26/12/2016,3.6609
27/12/2016,3.7324
28/12/2016,3.8533
29/12/2016,3.7969
30/12/2016,3.7342
31/12/2016,3.7342
1/1/2017,3.7342
2/1/2017,3.7342
3/1/2017,3.3344
4/1/2017,3.2496
5/1/2017,3.3071
6/1/2017,3.2647
7/1/2017,3.2647
8/1/2017,3.2647
9/1/2017,3.1144
10/1/2017,3.2624
11/1/2017,3.2765
12/1/2017,3.3623
13/01/2017,3.4073
14/01/2017,3.4073
15/01/2017,3.4073
16/01/2017,3.4753
17/01/2017,3.3792
18/01/2017,3.3105
19/01/2017,3.3094
20/01/2017,3.2
21/01/2017,3.2
22/01/2017,3.2
23/01/2017,3.2553
24/01/2017,3.2907
25/01/2017,3.3392
26/01/2017,3.3636
27/01/2017,3.3653
28/01/2017,3.3653
29/01/2017,3.3653
30/01/2017,3.2245
31/01/2017,3.1326
1/2/2017,3.156
2/2/2017,3.1738
3/2/2017,3.0542
4/2/2017,3.0542
5/2/2017,3.0542
6/2/2017,3.0469
7/2/2017,3.1334
8/2/2017,3.1324
9/2/2017,3.113
10/2/2017,3.0345
11/2/2017,3.0345
12/2/2017,3.0345
13/02/2017,2.9415
14/02/2017,2.9222
15/02/2017,2.9253
16/02/2017,2.834
17/02/2017,2.8457
18/02/2017,2.8457
19/02/2017,2.8457
20/02/2017,2.7638
21/02/2017,2.5739
22/02/2017,2.6007
23/02/2017,2.6145
24/02/2017,2.7856
25/02/2017,2.7856
26/02/2017,2.7856
27/02/2017,2.6892
28/02/2017,2.7604
1/3/2017,2.7863
2/3/2017,2.8054
3/3/2017,2.8189
4/3/2017,2.8189
5/3/2017,2.8189
6/3/2017,2.8524
7/3/2017,2.8228
8/3/2017,2.9067
9/3/2017,2.9663
10/3/2017,3.0341
11/3/2017,3.0341
12/3/2017,3.0341
13/03/2017,3.02
14/03/2017,2.9423
15/03/2017,2.9717
16/03/2017,2.9018
17/03/2017,2.9562
18/03/2017,2.9562
19/03/2017,2.9562
20/03/2017,3.0723
21/03/2017,3.0855
22/03/2017,3.014
23/03/2017,3.0453
24/03/2017,3.08
25/03/2017,3.08
26/03/2017,3.08
27/03/2017,3.0451
28/03/2017,3.0875
29/03/2017,3.207
30/03/2017,3.1904
31/03/2017,3.1827
1/4/2017,3.1827
2/4/2017,3.1827
3/4/2017,3.141
4/4/2017,3.2848
5/4/2017,3.2692
6/4/2017,3.3006
7/4/2017,3.2495
8/4/2017,3.2495
9/4/2017,3.2495
10/4/2017,3.2359
11/4/2017,3.1636
12/4/2017,3.173
13/04/2017,3.2309
14/04/2017,3.2309
15/04/2017,3.2309
16/04/2017,3.2309
17/04/2017,3.1564
18/04/2017,3.1468
19/04/2017,3.1843
20/04/2017,3.1622
21/04/2017,3.0926
22/04/2017,3.0926
23/04/2017,3.0926
24/04/2017,3.0595
25/04/2017,3.034
26/04/2017,3.2526
27/04/2017,3.235
28/04/2017,3.264
29/04/2017,3.264
30/04/2017,3.264
1/5/2017,3.227
2/5/2017,3.1785
3/5/2017,3.2145
4/5/2017,3.195
5/5/2017,3.2655
6/5/2017,3.2655
7/5/2017,3.2655
8/5/2017,3.171
9/5/2017,3.21
10/5/2017,3.2735
11/5/2017,3.3591
12/5/2017,3.4156
13/05/2017,3.4156
14/05/2017,3.4156
15/05/2017,3.3501
16/05/2017,3.2256
17/05/2017,3.2026
18/05/2017,3.18
19/05/2017,3.2475
20/05/2017,3.2475
21/05/2017,3.2475
22/05/2017,3.322
23/05/2017,3.225
24/05/2017,3.2005
25/05/2017,3.179
26/05/2017,3.2895
27/05/2017,3.2895
28/05/2017,3.2895
29/05/2017,3.2005
30/05/2017,3.1376
31/05/2017,3.0741
1/6/2017,3.0436
2/6/2017,3.0021
3/6/2017,3.0021
4/6/2017,3.0021
5/6/2017,2.9686
6/6/2017,3.0485
7/6/2017,3.0095
8/6/2017,3.0295
9/6/2017,3.0366
10/6/2017,3.0366
11/6/2017,3.0366
12/6/2017,2.9981
13/06/2017,2.9516
14/06/2017,2.936
15/06/2017,3.0405
16/06/2017,3.0241
17/06/2017,3.0241
18/06/2017,3.0241
19/06/2017,2.8815
20/06/2017,2.8865
21/06/2017,2.8825
22/06/2017,2.8875
23/06/2017,2.918
24/06/2017,2.918
25/06/2017,2.918
26/06/2017,3.037
27/06/2017,3.032
28/06/2017,3.0735
29/06/2017,3.03
30/06/2017,3.0305
1/7/2017,3.0305
2/7/2017,3.0305
3/7/2017,2.9455
4/7/2017,2.9756
5/7/2017,2.8471
6/7/2017,2.885
7/7/2017,2.8525
8/7/2017,2.8525
9/7/2017,2.8525
10/7/2017,2.918
11/7/2017,3.032
12/7/2017,2.9896
13/07/2017,2.956
14/07/2017,2.9735
15/07/2017,2.9735
16/07/2017,2.9735
17/07/2017,3.018
18/07/2017,3.0801
19/07/2017,3.0611
20/07/2017,3.027
21/07/2017,2.9481
22/07/2017,2.9481
23/07/2017,2.9481
24/07/2017,2.8975
25/07/2017,2.937
26/07/2017,2.916
27/07/2017,2.955
28/07/2017,2.9241
29/07/2017,2.9241
30/07/2017,2.9241
31/07/2017,2.8055
1/8/2017,2.815
2/8/2017,2.8096
3/8/2017,2.7875
4/8/2017,2.7755
5/8/2017,2.7755
6/8/2017,2.7755
7/8/2017,2.8001
8/8/2017,2.8091
9/8/2017,2.8735
10/8/2017,2.9716
11/8/2017,2.9806
12/8/2017,2.9806
13/08/2017,2.9806
14/08/2017,2.9511
15/08/2017,2.9181
16/08/2017,2.8825
17/08/2017,2.9146
18/08/2017,2.882
19/08/2017,2.882
20/08/2017,2.882
21/08/2017,2.9611
22/08/2017,2.932
23/08/2017,2.92
24/08/2017,2.938
25/08/2017,2.8931
26/08/2017,2.8931
27/08/2017,2.8931
28/08/2017,2.9181
29/08/2017,2.9711
30/08/2017,2.9376
31/08/2017,3.0251
1/9/2017,3.0581
2/9/2017,3.0581
3/9/2017,3.0581
4/9/2017,3.019
5/9/2017,2.9666
